,User_ID,Name,Username,Tweet_Date,Tweet_language,Tweet_text,Bio
0,1718863266,PEDRI+ARAÚJO=🎯,BoatengDuodu,2022-09-23 22:51:57+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",football ⚽️
1,1336515210,Gbevu♥️,_Oziiiiii,2022-09-23 22:51:14+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",…
2,723658136,Joshua M Davies,DaviessoJoshua,2022-09-23 22:40:44+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",@Acmilan ❤️ @Pluzzfm89.9/ PA/Supervisor/Thaljeb Gas/Diploma ICM(Journalism and Media Studies)/Safety Training (GNFS and Factorate Inspectorate GH)/Formerly M&G
3,563636648,Paapa #MTTU,Kandialla_,2022-09-23 22:39:21+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…","@ManUtd|| @HeartsOfOakGH|| #ManiFAN|| 
Kullu Nafsin Zaa'iqatul Maut 🙏"
4,707159736,ace,_Akwasii__,2022-09-23 22:34:58+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Living
5,3383169171,Kwaku_Platinum,MmanuelGh,2022-09-23 22:31:48+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Advert Sales Officer  @Daily Graphic Communications.. Graphic Sports Brand Manager #promoter #Marketer #Photographer #advertiser
6,2958514696,Prince🌚,Real_Oheneba,2022-09-23 22:22:03+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Here To Have Fun !
7,482860169,Pipi ⚡,erick_boateng,2022-09-23 22:15:18+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Blessed | Banker | Entrepreneur| Red devil
8,736135993284251648,Etor,etor_olu,2022-09-23 22:10:40+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",A Construction Engineer/surveyor. I do Architectural drawings. A Virgo l’m a Son and my duty is not to transgress. ❤️ Contact: 0241582782/0203777090
9,1000848760925229057,Ernest Adu Frimpong,RanchoWalker,2022-09-23 22:07:38+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Pharmacy Technologist || Entrepreneur ||Philanthropist || Dream Builder || Activist || Youth Leader || Politician || Nkrumanist #Rancho_Of_Africa🌍✊🏾🙏
10,1018092933474643968,S A L M A N,hajjpharis,2022-09-23 22:00:53+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",لا إله إلا الله محمد رسول الله
11,825257496877084672,Kwabena Frimpong Boateng,Frimpong_DC,2022-09-23 21:57:43+00:00,en,"RT @steve_hanke: #Ghana's economic woes continue to mount. Today, I measure inflation in Ghana at a stunning 81.04%.yr. That's nearly 2.4x…",
12,1135588052938711040,NO PRESSURE,GodblessKwame,2022-09-23 21:44:13+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",
13,957211566046416896,Equation,IamEquation,2022-09-23 21:44:03+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",Casford||Finance|| Manchester United till Satan Repents
14,1142551946643103745,Black_abrantie 🇬🇭,black_abrantie,2022-09-23 21:41:15+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…","Broken crayons 🖍 still colour.
Try Believe do 💫🤝 || @chelseafc || #KTBFFH || @samsung_Ghana || Ghana 🇬🇭 music 🎶"
15,215640924,Raprick,babyblanc01,2022-09-23 21:29:36+00:00,en,"RT @steve_hanke: #Ghana's economic woes continue to mount. Today, I measure inflation in Ghana at a stunning 81.04%.yr. That's nearly 2.4x…","Fuckery, Life is Short be Good"
16,215640924,Raprick,babyblanc01,2022-09-23 21:28:31+00:00,en,"RT @steve_hanke: #Ghana ranks 2nd in the countries most likely to default on their debt, according to Bloomberg. Today, I measure GHA's inf…","Fuckery, Life is Short be Good"
17,816342724081254400,moneymase,Mawutorr,2022-09-23 21:23:14+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",
18,806835662917877760,Riffin👑,glynn_na,2022-09-23 21:18:56+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",6’1   ⚖️
19,584854169,the.p!reku💀,NanaPireku,2022-09-23 21:11:04+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",爱所有人，无恨🕊❤️🏳️‍🌈  Arsenal❤️💯
20,1106912676649816064,WogbeMase,FrancisNuku,2022-09-23 21:09:58+00:00,en,"RT @NsiaYaw2: The Chief Executive Officer of Dalex Finance, Kenneth Kwamina Thompson, says while the Statistical Service pegs Ghana’s infla…","Leadership/Governance/
International Relations/
Communications/Globalization/Gender"
21,1034646276200128512,El Mas Loco🤬,ampice420,2022-09-23 21:08:44+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",
22,1044526435124367360,Akuamoah,Moraa_ta,2022-09-23 21:03:14+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…","Me, but on the internet. Chelsea💙"
23,1281222921030111234,francis kumadoh,Kumadorian1,2022-09-23 21:01:23+00:00,en,"RT @NsiaYaw2: The Chief Executive Officer of Dalex Finance, Kenneth Kwamina Thompson, says while the Statistical Service pegs Ghana’s infla…","Historian, Husband, Father, Proofreader"
24,1357495850428170242,UZUMAKI UCHIHA 🌑🌙,Mr_Panford,2022-09-23 20:56:51+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",|| The Street Belongs To The Brave💯❄️ || SARKODIE || JOEY B || KWEKU SMOKE || I FOLLOW BACK💯 Anime LOVER ❤️❤️
25,2560761971,Efua Trumplina🌸,efiejollof,2022-09-23 20:49:35+00:00,en,@steve_hanke Everyday u are measuring Ghana's inflation 🤣🤣,"Medical Lab Assistant 🔬💉🇬🇭
facebook... Giphtie Amenze Brown 
IG.. amenze_brown
tiktok: efuatrumplina
snap chat... amenzebrown
https://t.co/lwTLlUkV8a"
26,360371142,AKI,jah_bhu_kush,2022-09-23 20:47:46+00:00,en,"RT @steve_hanke: Leading member of the New Patriotic Party (NPP) Gabby Otchere-Darko says Pres. Akufo-Addo deserves ""praise"" for his handli…",
